"year_month","description","total_quantity","total_sales","rank"
"2009-12",WHITE HANGING HEART T-LIGHT HOLDER,6445,17357.60,1
"2009-12",PACK OF 12 RED SPOTTY TISSUES ,5363,1386.31,2
"2009-12",PACK OF 12 SKULL TISSUES,5247,1321.83,3
"2009-12",PACK OF 72 RETRO SPOT CAKE CASES,5006,2568.35,4
"2009-12",PACK OF 12 WOODLAND TISSUES ,4882,1253.24,5
"2010-01",JAZZ HEARTS MEMO PAD,9500,996.77,1
"2010-01",JAZZ HEARTS MAGNETIC MEMO PAD,7026,832.62,2
"2010-01",POP-ART FLUORESCENT PENS,6145,369.06,3
"2010-01",BLACK AND WHITE PAISLEY FLOWER MUG,6044,685.84,4
"2010-01",WHITE HANGING HEART T-LIGHT HOLDER,5486,14706.69,5
"2010-02",BLACK AND WHITE PAISLEY FLOWER MUG,19249,2022.53,1
"2010-02",SMALL FAIRY CAKE FRIDGE MAGNETS,11960,6467.60,2
"2010-02",ASS FLORAL PRINT SCISSORS,6708,1019.40,3
"2010-02",RED SPOTTY CANDY BAG,4323,784.97,4
"2010-02",GARDEN PATH POCKET BOOK,4320,432.00,5
"2010-03",SET/6 WOODLAND PAPER PLATES,13119,1425.57,1
"2010-03",SET/6 WOODLAND PAPER CUPS,13071,1468.10,2
"2010-03",SET/6 STRAWBERRY PAPER CUPS,13009,1327.85,3
"2010-03",SET/6 STRAWBERRY PAPER PLATES,12506,1271.72,4
"2010-03",PACK OF 12 SUKI TISSUES ,11806,3183.08,5
"2010-04",PACK OF 72 RETRO SPOT CAKE CASES,5365,2599.02,1
"2010-04",FLAG OF ST GEORGE CAR FLAG,3938,474.58,2
"2010-04",WORLD WAR 2 GLIDERS ASSTD DESIGNS,3744,743.04,3
"2010-04",WHITE HANGING HEART T-LIGHT HOLDER,3702,10063.26,4
"2010-04",ASSTD DESIGN BUBBLE GUM RING,3203,602.69,5
"2010-05",FLAG OF ST GEORGE CAR FLAG,11115,1340.09,1
"2010-05",PACK OF 12 SUKI TISSUES ,5625,2684.89,2
"2010-05",PACK OF 12 HEARTS DESIGN TISSUES ,5586,2679.82,3
"2010-05",WHITE HANGING HEART T-LIGHT HOLDER,4435,11967.49,4
"2010-05",PACK OF 72 RETRO SPOT CAKE CASES,4336,2150.42,5
"2010-06",WORLD WAR 2 GLIDERS ASSTD DESIGNS,5515,1058.40,1
"2010-06","ASSORTED FLOWER COLOUR ""LEIS""",4712,2133.22,2
"2010-06",PACK OF 72 RETRO SPOT CAKE CASES,4684,2371.22,3
"2010-06",ASSORTED COLOURS SILK FAN,4385,2923.53,4
"2010-06",WHITE HANGING HEART T-LIGHT HOLDER,4364,11849.31,5
"2010-07",PACK OF 72 RETRO SPOT CAKE CASES,4493,2303.66,1
"2010-07",WHITE HANGING HEART T-LIGHT HOLDER,4043,10794.29,2
"2010-07",ASSORTED COLOURS SILK FAN,3785,2774.23,3
"2010-07",JUMBO BAG RED RETROSPOT,3617,6681.85,4
"2010-07",ASSORTED COLOUR BIRD ORNAMENT,3133,5059.09,5
"2010-08",SET/6 FRUIT SALAD PAPER CUPS,7131,572.19,1
"2010-08",SET/6 FRUIT SALAD  PAPER PLATES,7008,911.04,2
"2010-08",POP ART PEN CASE & PENS,5197,425.77,3
"2010-08",WORLD WAR 2 GLIDERS ASSTD DESIGNS,5009,960.37,4
"2010-08",MULTICOLOUR SPRING FLOWER MUG,5008,535.66,5
"2010-09",BROCADE RING PURSE ,13931,2640.11,1
"2010-09",JUMBO BAG RED RETROSPOT,7297,13620.53,2
"2010-09",SET/6 FRUIT SALAD PAPER CUPS,7131,572.19,3
"2010-09",SET/6 FRUIT SALAD  PAPER PLATES,7018,919.54,4
"2010-09",POP ART PEN CASE & PENS,5193,422.37,5
"2010-10",BROCADE RING PURSE ,6765,1256.47,1
"2010-10",GIRLS ALPHABET IRON ON PATCHES ,6397,1183.99,2
"2010-10",ASSORTED COLOUR BIRD ORNAMENT,5994,9431.30,3
"2010-10",PACK OF 72 RETROSPOT CAKE CASES,5728,2970.10,4
"2010-10",WORLD WAR 2 GLIDERS ASSTD DESIGNS,5627,1265.95,5
"2010-11",ROTATING SILVER ANGELS T-LIGHT HLDR,12445,25710.94,1
"2010-11",BROCADE RING PURSE ,10643,2024.17,2
"2010-11",WORLD WAR 2 GLIDERS ASSTD DESIGNS,9605,2098.91,3
"2010-11",ASSORTED COLOUR BIRD ORNAMENT,9287,14626.47,4
"2010-11",SMALL POPCORN HOLDER,9184,10291.52,5
"2010-12",WORLD WAR 2 GLIDERS ASSTD DESIGNS,8954,1926.50,1
"2010-12",WHITE HANGING HEART T-LIGHT HOLDER,5776,16826.35,2
"2010-12",PACK OF 72 RETROSPOT CAKE CASES,5694,3805.23,3
"2010-12",MINI PAINT SET VINTAGE ,4757,2798.60,4
"2010-12",CREAM HEART CARD HOLDER,4444,10971.60,5
"2011-01",MEDIUM CERAMIC TOP STORAGE JAR,74215,77183.60,1
"2011-01",WHITE HANGING HEART T-LIGHT HOLDER,5541,15276.25,2
"2011-01",PACK OF 72 RETROSPOT CAKE CASES,3411,1676.01,3
"2011-01",FAIRY CAKE FLANNEL ASSORTED COLOUR,3246,6870.41,4
"2011-01",BROCADE RING PURSE ,3181,525.50,5
"2011-02",EMPIRE DESIGN ROSETTE,3986,3302.92,1
"2011-02",GROW A FLYTRAP OR SUNFLOWER IN TIN,3795,3799.11,2
"2011-02",WORLD WAR 2 GLIDERS ASSTD DESIGNS,3518,820.79,3
"2011-02",JUMBO BAG RED RETROSPOT,3080,5617.24,4
"2011-02",PACK OF 12 LONDON TISSUES ,2725,754.97,5
"2011-03",JUMBO BAG RED RETROSPOT,5282,10118.38,1
"2011-03",PACK OF 72 RETROSPOT CAKE CASES,3975,2293.53,2
"2011-03",WORLD WAR 2 GLIDERS ASSTD DESIGNS,3888,943.20,3
"2011-03",PACK OF 12 LONDON TISSUES ,3645,1014.69,4
"2011-03",BROCADE RING PURSE ,3396,869.64,5
"2011-04",WORLD WAR 2 GLIDERS ASSTD DESIGNS,10239,2290.89,1
"2011-04",WHITE HANGING HEART T-LIGHT HOLDER,3843,10017.79,2
"2011-04",FAIRY CAKE FLANNEL ASSORTED COLOUR,3145,6625.68,3
"2011-04",PACK OF 72 RETROSPOT CAKE CASES,3020,1775.51,4
"2011-04",BALLOON WATER BOMB PACK OF 35,2644,964.49,5
"2011-05",SMALL POPCORN HOLDER,6849,5151.63,1
