"year_month","description","total_sales","total_quantity","rank"
"2009-12",WHITE HANGING HEART T-LIGHT HOLDER,17357.60,6445,1
"2009-12",PAPER CHAIN KIT 50'S CHRISTMAS ,10175.26,3364,2
"2009-12",EDWARDIAN PARASOL BLACK,8739.40,2197,3
"2009-12",SCOTTIE DOG HOT WATER BOTTLE,8129.76,1585,4
"2009-12",ASSORTED COLOUR BIRD ORNAMENT,7623.93,4642,5
"2010-01",WHITE HANGING HEART T-LIGHT HOLDER,14706.69,5486,1
"2010-01",KENSINGTON COFFEE SET,10248.60,1216,2
"2010-01",Adjustment by john on 26/01/2010 17,6563.50,16,3
"2010-01",JUMBO BAG RED WHITE SPOTTY ,6288.81,3572,4
"2010-01",DOOR MAT UNION FLAG,4911.96,860,5
"2010-02",WHITE HANGING HEART T-LIGHT HOLDER,8030.57,2911,1
"2010-02",SMALL FAIRY CAKE FRIDGE MAGNETS,6467.60,11960,2
"2010-02",DOOR MAT RED SPOT,5708.51,1021,3
"2010-02",JUMBO BAG RED WHITE SPOTTY ,4735.80,2662,4
"2010-02",DOOR MAT SPOTTY HOME SWEET HOME,3797.79,743,5
"2010-03",WHITE HANGING HEART T-LIGHT HOLDER,14252.40,5076,1
"2010-03",ENGLISH ROSE DESIGN QUILTED THROW,10787.30,559,2
"2010-03",REGENCY CAKESTAND 3 TIER,9890.61,751,3
"2010-03",JUMBO BAG RED WHITE SPOTTY ,5879.46,3257,4
"2010-03",ASSORTED COLOUR BIRD ORNAMENT,5229.57,3341,5
"2010-04",REGENCY CAKESTAND 3 TIER,14383.09,1167,1
"2010-04",WHITE HANGING HEART T-LIGHT HOLDER,10063.26,3702,2
"2010-04",PARTY BUNTING,7018.85,1489,3
"2010-04",ENGLISH ROSE DESIGN QUILTED THROW,6084.51,237,4
"2010-04",RED RETROSPOT JUMBO BAG ,5615.71,3167,5
"2010-05",WHITE HANGING HEART T-LIGHT HOLDER,11967.49,4435,1
"2010-05",PARTY BUNTING,9681.51,2151,2
"2010-05",REGENCY CAKESTAND 3 TIER,6771.88,540,3
"2010-05",VINTAGE UNION JACK BUNTING,4501.87,536,4
"2010-05",WOODEN SKITTLES GARDEN SET,4117.70,334,5
"2010-06",REGENCY CAKESTAND 3 TIER,16590.28,1362,1
"2010-06",WHITE HANGING HEART T-LIGHT HOLDER,11849.31,4364,2
"2010-06",PINK PAPER PARASOL ,9466.26,3686,3
"2010-06",JUMBO BAG RED RETROSPOT,7789.66,4303,4
"2010-06",PARTY BUNTING,6185.99,1261,5
"2010-07",REGENCY CAKESTAND 3 TIER,18865.88,1544,1
"2010-07",WHITE HANGING HEART T-LIGHT HOLDER,10794.29,4043,2
"2010-07",SET/4 WHITE RETRO STORAGE CUBES ,7765.60,220,3
"2010-07",JUMBO BAG RED RETROSPOT,6681.85,3617,4
"2010-07",ASSORTED COLOUR BIRD ORNAMENT,5059.09,3133,5
"2010-08",REGENCY CAKESTAND 3 TIER,13271.28,1046,1
"2010-08",WHITE HANGING HEART T-LIGHT HOLDER,12846.71,4733,2
"2010-08",PARTY BUNTING,5502.11,609,3
"2010-08",LUNCH BAG RED SPOTTY,5457.73,2897,4
"2010-08",ASSORTED COLOUR BIRD ORNAMENT,5055.63,3171,5
"2010-09",REGENCY CAKESTAND 3 TIER,24771.17,2061,1
"2010-09",JUMBO BAG RED RETROSPOT,13620.53,7297,2
"2010-09",WHITE HANGING HEART T-LIGHT HOLDER,11895.17,4413,3
"2010-09",ASSORTED COLOUR BIRD ORNAMENT,6841.21,4273,4
"2010-09",VINTAGE UNION JACK BUNTING,6505.78,751,5
"2010-10",REGENCY CAKESTAND 3 TIER,23904.01,1965,1
"2010-10",WHITE HANGING HEART T-LIGHT HOLDER,12829.41,4613,2
"2010-10",ASSORTED COLOUR BIRD ORNAMENT,9431.30,5994,3
"2010-10",ROTATING SILVER ANGELS T-LIGHT HLDR,8908.08,4634,4
"2010-10",PAPER CHAIN KIT 50'S CHRISTMAS ,8447.92,2988,5
"2010-11",PAPER CHAIN KIT 50'S CHRISTMAS ,28341.81,7243,1
"2010-11",REGENCY CAKESTAND 3 TIER,28151.33,2210,2
"2010-11",ROTATING SILVER ANGELS T-LIGHT HLDR,25710.94,12445,3
"2010-11",WHITE HANGING HEART T-LIGHT HOLDER,18445.75,6667,4
"2010-11",ASSORTED COLOUR BIRD ORNAMENT,14626.47,9287,5
"2010-12",REGENCY CAKESTAND 3 TIER,41348.94,3161,1
"2010-12",AMAZON FEE,27082.66,2,2
"2010-12",WHITE HANGING HEART T-LIGHT HOLDER,16826.35,5776,3
"2010-12",PAPER CHAIN KIT 50'S CHRISTMAS ,14483.15,3915,4
"2010-12",RED WOOLLY HOTTIE WHITE HEART.,13777.32,2967,5
"2011-01",MEDIUM CERAMIC TOP STORAGE JAR,77183.60,74215,1
"2011-01",WHITE HANGING HEART T-LIGHT HOLDER,15276.25,5541,2
"2011-01",REGENCY CAKESTAND 3 TIER,12800.60,1037,3
"2011-01",FAIRY CAKE FLANNEL ASSORTED COLOUR,6870.41,3246,4
"2011-01",CHILLI LIGHTS,5901.13,1386,5
"2011-02",REGENCY CAKESTAND 3 TIER,11009.49,901,1
"2011-02",VINTAGE UNION JACK MEMOBOARD,6810.39,1047,2
"2011-02",JUMBO BAG RED RETROSPOT,5617.24,3080,3
"2011-02",WHITE HANGING HEART T-LIGHT HOLDER,5140.11,1877,4
"2011-02",PARTY BUNTING,4347.90,925,5
"2011-03",REGENCY CAKESTAND 3 TIER,18372.00,1453,1
"2011-03",JUMBO BAG RED RETROSPOT,10118.38,5282,2
"2011-03",PARTY BUNTING,9123.02,1666,3
"2011-03",JUMBO BAG STRAWBERRY,5853.80,3040,4
"2011-03",WHITE HANGING HEART T-LIGHT HOLDER,5597.90,1999,5
"2011-04",REGENCY CAKESTAND 3 TIER,14812.95,1195,1
"2011-04",PARTY BUNTING,10778.47,1937,2
"2011-04",WHITE HANGING HEART T-LIGHT HOLDER,10017.79,3843,3
"2011-04",PAPER CHAIN KIT EMPIRE,6637.21,2427,4
"2011-04",FAIRY CAKE FLANNEL ASSORTED COLOUR,6625.68,3145,5
"2011-05",PARTY BUNTING,19147.75,3565,1
"2011-05",REGENCY CAKESTAND 3 TIER,12645.97,1062,2
"2011-05",WHITE HANGING HEART T-LIGHT HOLDER,11415.32,4036,3
"2011-05",SPOTTY BUNTING,7706.97,1615,4
"2011-05",JUMBO BAG RED RETROSPOT,7122.73,3621,5
"2011-06",PICNIC BASKET WICKER 60 PIECES,39619.50,61,1
"2011-06",PARTY BUNTING,12561.07,2221,2
